text_part,text_content
,"‘Such a rich store of myths enfolds Paul Muad’Dib, the Mentat Emperor, and his sister, Alia, it is difficult to see the real persons behind these veils. But there were, after all, a man born Paul Atreides and a woman born Alia. Their flesh was subject to space and time. And even though their oracular powers placed them beyond the usual limits of time and space, they came from human stock. They experienced real events which left real traces upon a real universe. To understand them, it must be seen that their catastrophe was the catastrophe of all mankind. This work is dedicated, then, not to Muad’Dib or his sister, but to their heirs—to all of us’. <h5 class=""bodytext-center-1""><strong>—Dedication in the Muad’Dib Concordance as copied from the Tabla Memorium of the Mahdi Spirit Cult</strong></h5> "
text_content,"Muad’Dib’s Imperial reign generated more historians than any other era in human history. Most of them argued a particular viewpoint, jealous and sectarian, but it says something about the peculiar impact of this man that he aroused such passions on so many diverse worlds. "
text_content,"Of course, he contained the ingredients of history, ideal and idealized. This man, born Paul Atreides in an ancient Great Family, received the deep ‘prana-bindu’ training from the Lady Jessica, his Bene Gesserit mother, and had through this a superb control over muscles and nerves. But more than that, he was a ‘mentat’, an intellect whose capacities surpassed those of the religiously proscribed mechanical computers used by the ancients. "
text_content,"Above all else, Muad’Dib was the ‘Kwisatz Haderach’ which the Sisterhood’s breeding program had sought across thousands of generations. "
text_content,"The Kwisatz Haderach, then, the one who could be “many places at once,” this prophet, this man through whom the Bene Gesserit hoped to control human destiny—this man became Emperor Muad’Dib and executed a marriage of convenience with a daughter of the Padishah Emperor he had defeated. "
text_content,"Think on the paradox, the failure implicit in this moment, for you surely have read other histories and know the surface facts. Muad’Dib’s wild Fremen did, indeed, overwhelm the Padishah Shaddam IV. They toppled the Sardaukar legions, the allied forces of the Great Houses, the Harkonnen armies and the mercenaries bought with money voted in the Landsraad. He brought the Spacing Guild to its knees and placed his own sister, Alia, on the religious throne the Bene Gesserit had thought their own. "
text_content,He did all these things and more. 
text_content,"Muad’Dib’s Qizarate missionaries carried their religious war across space in a Jihad whose major impetus endured only twelve standard years, but in that time, religious colonialism brought all but a fraction of the human universe under one rule. "
text_content,"He did this because capture of Arrakis, that planet known more often as Dune, gave him a monopoly over the ultimate coin of the realm—the geriatric spice, melange, the poison that gave life. "
text_content,"Here was another ingredient of ideal history: a material whose psychic chemistry unraveled Time. Without melange, the Sisterhood’s Reverend Mothers could not perform their feats of observation and human control. Without melange, the Guild’s Steersmen could not navigate across space. Without melange, billions upon billions of Imperial citizens would die of addictive withdrawal. "
text_content,"Without melange, Paul Muad’Dib could not prophesy. "
text_content,"We know this moment of supreme power contained failure. There can be only one answer, that completely accurate and total prediction is lethal. "
text_content,"Other histories say Muad’Dib was defeated by obvious plotters—the Guild, the Sisterhood and the scientific amoralists of the Bene Tleilax with their Face-Dancer disguises. Other histories point out the spies in Muad’Dib’s household. They make much of the Dune Tarot which clouded Muad’Dib’s powers of prophecy. Some show how Muad’Dib was made to accept the services of a ‘ghola’, the flesh brought back from the dead and trained to destroy him. But certainly they must know this ghola was Duncan Idaho, the Atreides lieutenant who perished saving the life of the young Paul. "
text_content,"Yet, they delineate the Qizarate cabal guided by Korba the Panegyrist. They take us step by step through Korba’s plan to make a martyr of Muad’Dib and place the blame on Chani, the Fremen concubine. "
text_content,How can any of this explain the facts as history has revealed them? They cannot. Only through the lethal nature of prophecy can we understand the failure of such enormous and far-seeing power. 
text_content,"Hopefully, other historians will learn something from this revelation. "
text_caption,"—Analysis of History: Muad’Dib by Bronso of Ix </html> ‘There exists no separation between gods and men; one blends softly casual into the other’. <h5 class=""bodytext-center-1""><strong>—Proverbs of Muad’Dib</strong></h5> "
text_content,"Despite the murderous nature of the plot he hoped to devise, the thoughts of Scytale, the Tleilaxu Face Dancer, returned again and again to rueful compassion. "
text_content,"‘I shall regret causing death and misery to Muad’Dib’, he told himself. "
text_content,"He kept this benignity carefully hidden from his fellow conspirators. Such feelings told him, though, that he found it easier to identify with the victim than with the attackers—a thing characteristic of the Tleilaxu. "
text_content,"Scytale stood in bemused silence somewhat apart from the others. The argument about psychic poison had been going on for some time now. It was energetic and vehement, but polite in that blindly compulsive way adepts of the Great Schools always adopted for matters close to their dogma. "
text_content,"“When you think you have him skewered, right then you’ll find him unwounded!” "
