chapter,paragraph,text_part,content
1.0,1,opening_text,"planet known as Dune, is forever his place. "
1.0,2,opening_caption,—from ‘Manual of Muad’Dib’ by the Princess Irulan 
1.0,3,text_content,"an old crone came to visit the mother of the boy, Paul. "
1.0,4,text_content,generations bore that cooled-sweat feeling it acquired before a change in the weather. 
1.0,5,text_content,at him where he lay in his bed. 
1.0,6,text_content,"‘round darkness of features, eyes like glittering jewels. "
1.0,7,text_content,"‘Is he not small for his age, Jessica?’ the old woman asked. Her voice wheezed and twanged like an untuned baliset. "
1.0,8,text_content,"Paul’s mother answered in her soft contralto: ‘The Atreides are known to start late getting their growth, Your Reverence.’ "
1.0,9,text_content,"‘So I’ve heard, so I’ve heard,’ wheezed the old woman. ‘Yet he’s already fifteen.’ "
1.0,10,text_content,"‘Yes, Your Reverence.’ "
1.0,11,text_content,And if he’s really the Kwisatz Haderach … well …’ 
1.0,12,text_content,seemed to expand and glow as they stared into his. 
1.0,13,text_content,"‘Sleep well, you sly little rascal,’ said the old woman. ‘Tomorrow you’ll need all your faculties to meet my gom jabbar.’ "
1.0,14,text_content,"And she was gone, pushing his mother out, closing the door with a solid thump. "
1.0,15,text_content,Paul lay awake wondering: ‘What’s a gom jabbar?’ 
1.0,16,text_content,"In all the upset during this time of change, the old woman was the strangest thing he had seen. "
1.0,17,text_content,‘Your Reverence.’ 
1.0,18,text_content,concubine and mother of the ducal heir. 
1.0,19,text_content,‘Is a gom jabbar something of Arrakis I must know before we go there?’ he wondered. 
1.0,20,text_content,He mouthed her strange words: ‘Gom jabbar … Kwisatz Haderach.’ 
1.0,21,text_content,new knowledge. ‘Arrakis – Dune – Desert Planet.’ 
1.0,22,text_content,the Landsraad. 
1.0,23,text_content,"‘A popular man arouses the jealousy of the powerful,’ Hawat had said. "
1.0,24,text_content,‘Arrakis – Dune – Desert Planet.’ 
1.0,25,text_content,"the dream, Paul knew he would remember it upon awakening. He always remembered the dreams that were predictions. "
1.0,26,text_content,The dream faded. 
1.0,27,text_content,"bashar to command them: will-o’-the-sand people called Fremen, marked down on no census of the Imperial Regate. "
1.0,28,text_content,‘Arrakis – Dune – Desert Planet.’ 
1.0,29,text_content,… strive for flow-permanence within … 
1.0,30,text_content,Over and over and over within Paul’s floating awareness the lesson rolled. 
1.0,31,text_content,"renewed bustle and hurry in the castle, seeing the familiar patterned beams of his bedroom ceiling. "
1.0,32,text_content,"The hall door opened and his mother peered in, hair like shaded bronze held with a black ribbon at the crown, her oval face emotionless and green eyes staring solemnly. "
1.0,33,text_content,"‘You’re awake,’ she said. ‘Did you sleep well?’ "
1.0,34,text_content,‘Yes.’ 
1.0,35,text_content,"She turned, holding a semiformal jacket for him. It carried the red Atreides hawk crest above the breast pocket. "
1.0,36,text_content,"‘Hurry and dress,’ she said. ‘Reverend Mother is waiting.’ "
1.0,37,text_content,"‘I dreamed of her once,’ Paul said. ‘Who is she?’ "
1.0,38,text_content,tell her about your dreams.’ 
1.0,39,text_content,‘I will. Is she the reason we got Arrakis?’ 
1.0,40,text_content,keep Reverend Mother waiting.’ 
1.0,41,text_content,"Paul sat up, hugged his knees. ‘What’s a gom jabbar?’ "
1.0,42,text_content,"Again, the training she had given him exposed her almost invisible hesitation, a nervous betrayal he felt as fear. "
1.0,43,text_content,"about … the gom jabbar soon enough,’ she said. "
1.0,44,text_content,He heard the fear in her voice and wondered at it. 
1.0,45,text_content,Jessica spoke without turning. ‘Reverend Mother is waiting in my morning room. Please hurry.’ 
1.0,46,text_content,from a Bene Gesserit-with-the-Sight. Even the Padishah Emperor’s Truthsayer couldn’t evade that responsibility when the duty call came. 
1.0,47,text_content,‘Damn that Jessica!’ the Reverend Mother thought. ‘If only she’d borne us a girl as she was ordered to do!’ 
1.0,48,text_content,Paul gave the short bow his dancing master had taught – the one used ‘when in doubt of another’s station.’ 
1.0,49,text_content,"The nuances of Paul’s greeting were not lost on the Reverend Mother. She said: ‘He’s a cautious one, Jessica.’ "
1.0,50,text_content,"under control. ‘Thus he has been taught, Your Reverence.’ "
1.0,51,text_content,‘What does she fear?’ Paul wondered. 
1.0,52,text_content,"green eyes: like the old Duke, the paternal grandfather who is dead. "
1.0,53,text_content,"‘Now, there was a man who appreciated the power of bravura – even in death,’ the Reverend Mother thought. "
1.0,54,text_content,‘Leave us. I enjoin you to practice the meditation of peace.’ 
1.0,55,text_content,"Jessica took her hand from Paul’s shoulder. ‘Your Reverence, I—’ "
1.0,56,text_content,"‘Jessica, you know it must be done.’ "
1.0,57,text_content,"Paul looked up at his mother, puzzled. "
1.0,58,text_content,Jessica straightened. ‘Yes … of course.’ 
1.0,59,text_content,felt an angry apprehension at the fear he sensed radiating from his mother. 
1.0,60,text_content,‘Paul …’ Jessica took a deep breath. ‘… this test you’re about to receive … it’s important to me.’ 
1.0,61,text_content,‘Test?’ He looked up at her. 
1.0,62,text_content,closed solidly behind her. 
1.0,63,text_content,"Paul faced the old woman, holding anger in check. ‘Does one dismiss the Lady Jessica as though she were a serving wench?’ "
1.0,64,text_content,"A smile flicked the corners of the wrinkled old mouth. ‘The Lady Jessica ‘was’ my serving wench, lad, for fourteen years at school.’ She nodded. ‘And a good one, too. Now, ‘you’ come here!’ "
1.0,65,text_content,"The command whipped out at him. Paul found himself obeying before he could think about it. ‘Using the Voice on me,’ he thought. He stopped at her gesture, standing beside her knees. "
1.0,66,text_content,it and Paul saw that one side was open – black and oddly frightening. No light penetrated that open blackness. 
